%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,road
1.55619146500763E+018,576,1.5561914650058E+018,base_imu_link,0.5020131766,0.8645798492,0.0185644694,-0.0118243563,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,-0.01,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.8235507813,0.1915234375,-9.5428467969,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146502724E+018,577,1.55619146502683E+018,base_imu_link,0.5020154522,0.8645190624,0.0200798953,-0.0135674,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,-0.01,-0.2,0.02,0,0,0,0.02,0,0,0,0.02,0.3160136719,-0.2681328125,-10.2465039062,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146504619E+018,578,1.55619146504576E+018,base_imu_link,0.5019917315,0.8645684479,0.0181890982,-0.0139591225,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.8905839844,1.2544785156,-9.5907276563,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146506632E+018,579,1.55619146506591E+018,base_imu_link,0.5019173046,0.8644648201,0.0245543656,-0.0132920041,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.02,0.01,-0.2,0.02,0,0,0,0.02,0,0,0,0.02,0.6366239063,0.2394042969,-9.7726749219,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146508618E+018,580,1.55619146508575E+018,base_imu_link,0.501917709,0.8644351149,0.0250793297,-0.0141976269,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.01,0.01,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.4742120313,0.5075371094,-10.4138953906,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146510598E+018,581,1.55619146510564E+018,base_imu_link,0.5020088264,0.8643648631,0.0260174234,-0.013550472,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.8810078125,0.5649941406,-9.84890125,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146512632E+018,582,1.55619146512585E+018,base_imu_link,0.502180743,0.864174994,0.0282450251,-0.01477497,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0.01,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.2539600781,0.3543183594,-10.7253125,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146514582E+018,583,1.55619146514543E+018,base_imu_link,0.5024050062,0.864084451,0.0275922576,-0.0136359291,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0.01,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.6366239063,1.0870870313,-10.7348886719,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146516611E+018,584,1.55619146516564E+018,base_imu_link,0.5025940638,0.8638993851,0.0302699528,-0.0126802724,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0.01,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.689484375,0.3638945313,-10.1744910937,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146518608E+018,585,1.55619146518554E+018,base_imu_link,0.5027428157,0.8637993351,0.0303209932,-0.0134538953,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,-0.0528604688,0.3351660156,-10.6678554687,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146520581E+018,586,1.55619146520545E+018,base_imu_link,0.5028772611,0.8638100984,0.0285567473,-0.0114492989,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.8618554688,0.4837882031,-9.8776297656,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146522621E+018,587,1.5561914652258E+018,base_imu_link,0.5031149975,0.8636079417,0.0298255131,-0.0129252114,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.04,0,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.2010996094,0.033708125,-11.1704129688,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146524581E+018,588,1.55619146524544E+018,base_imu_link,0.5031659627,0.8636529992,0.027768656,-0.0125065107,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.7611141406,0.1915234375,-10.1074578906,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146526609E+018,589,1.55619146526562E+018,base_imu_link,0.5033080065,0.8635465049,0.0277189386,-0.0141472571,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,1.1924249219,0.5603975781,-9.8155761719,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146528605E+018,590,1.55619146528547E+018,base_imu_link,0.5037041783,0.8631786569,0.0304282833,-0.0166981026,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0.01,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.5125167188,-0.8810078125,-10.6103984375,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146530587E+018,591,1.55619146530553E+018,base_imu_link,0.5040611905,0.8630729517,0.0257113034,-0.0191396209,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0.02,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.7132332813,0.5795499219,-10.1361864062,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146532594E+018,592,1.55619146532542E+018,base_imu_link,0.5044637792,0.8627937836,0.0273074098,-0.018907346,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0.01,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,-0.3688741406,-0.8810078125,-11.261578125,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146534572E+018,593,1.55619146534533E+018,base_imu_link,0.5049993413,0.8626640435,0.0215887786,-0.0178979887,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.2394042969,-0.2585566406,-10.6103984375,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146536592E+018,594,1.55619146536542E+018,base_imu_link,0.5054230027,0.8624773836,0.0191619297,-0.0176966554,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.842703125,1.0487823438,-10.2943847656,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146538593E+018,595,1.55619146538538E+018,base_imu_link,0.5055599167,0.862314827,0.0232111977,-0.0168389467,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.04,-0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.229828125,-0.6799082031,-12.0468242187,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146540564E+018,596,1.55619146540522E+018,base_imu_link,0.5055952005,0.8623673638,0.0201745222,-0.0170003481,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.03,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.9434444531,2.1354863281,-10.5671141406,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146542828E+018,597,1.55619146542793E+018,base_imu_link,0.5054153135,0.8623165334,0.0276781729,-0.0141235906,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,-0.04,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.8235507813,0.5841464844,-9.9542391406,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146544535E+018,598,1.55619146544504E+018,base_imu_link,0.5052074364,0.8623804427,0.0292250751,-0.0145366165,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,-0.04,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.9338682813,0.4692324219,-9.4995625,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146546534E+018,599,1.55619146546506E+018,base_imu_link,0.505219239,0.8623036814,0.0306320686,-0.0157339748,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,-0.03,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,-0.2060792188,0.3064375,-10.7923457031,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146548521E+018,600,1.55619146548492E+018,base_imu_link,0.5052797344,0.8623948799,0.0283330944,-0.0128334319,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,-0.02,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,0.8859874219,-0.7036571094,-9.8776297656,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146550528E+018,601,1.55619146550501E+018,base_imu_link,0.5055011924,0.862306374,0.0246286534,-0.0170203209,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.01,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,0.87641125,1.0438027344,-10.3277098438,0.04,0,0,0,0.04,0,0,0,0.04,1
1.5561914655253E+018,602,1.55619146552502E+018,base_imu_link,0.5054806472,0.8622168168,0.028266644,-0.0165067562,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.04,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,1.0679346875,-1.1970214844,-9.5619991406,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146554528E+018,603,1.55619146554506E+018,base_imu_link,0.5057678877,0.8620672733,0.0229029695,-0.0226784925,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,-0.01,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,1.02963,0.5316690625,-10.3231132812,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146556515E+018,604,1.55619146556492E+018,base_imu_link,0.5059358049,0.8618894092,0.0249925571,-0.0234729562,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.04,-0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.45965625,-1.0629550781,-9.925510625,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146558524E+018,605,1.55619146558497E+018,base_imu_link,0.5063155129,0.8617504515,0.0190319221,-0.025856268,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.8714316406,0.6749285938,-9.9063582813,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146560502E+018,606,1.55619146560469E+018,base_imu_link,0.5067501789,0.8614329259,0.0221428423,-0.0254414015,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.3638945313,-0.1436425781,-9.9783710938,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146562514E+018,607,1.5561914656249E+018,base_imu_link,0.5070298714,0.8613302923,0.0201664316,-0.0249830362,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.9051397656,0.0528604688,-10.0404246875,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146564514E+018,608,1.55619146564482E+018,base_imu_link,0.5074542874,0.8610295487,0.0205871521,-0.0263520708,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.03,0,-0.22,0.02,0,0,0,0.02,0,0,0,0.02,0.1673914844,-0.340145625,-9.9209140625,0.04,0,0,0,0.04,0,0,0,0.04,1
1.5561914656649E+018,609,1.55619146566467E+018,base_imu_link,0.5078802304,0.8608741309,0.0175266624,-0.0254208258,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.8331269531,0.0478808594,-8.6522628125,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146568864E+018,610,1.55619146568741E+018,base_imu_link,0.5080883778,0.8607067362,0.0181539304,-0.0264678944,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,-0.2394042969,-0.0624366406,-11.1991414844,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146571203E+018,611,1.55619146571111E+018,base_imu_link,0.5082754872,0.8607199882,0.0160092168,-0.023681978,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,1.1204121094,0.26353625,-10.0308485156,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146572497E+018,612,1.55619146572469E+018,base_imu_link,0.5083449468,0.8605817345,0.0184376243,-0.0253879386,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.2060792188,0.3160136719,-11.2232734375,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146574491E+018,613,1.55619146574465E+018,base_imu_link,0.508391145,0.8606151411,0.0183324351,-0.023322616,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.4454835156,-0.7806495313,-9.9063582813,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146576493E+018,614,1.55619146576465E+018,base_imu_link,-0.5085998746,-0.8605242723,-0.0143811568,0.0248460589,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,-0.04290125,1.0533789063,-10.691604375,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146578499E+018,615,1.55619146578467E+018,base_imu_link,0.5086582213,0.8605656065,0.0168333891,-0.0202555632,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.3305694531,-1.1778691406,-10.2752324219,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146580745E+018,616,1.55619146580671E+018,base_imu_link,-0.5087709563,-0.8605336298,-0.0114386633,0.0224308484,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,0.1915234375,1.0104776563,-10.6295507812,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146582954E+018,617,1.55619146582906E+018,base_imu_link,0.5085049705,0.8607294756,0.0145054266,-0.0188959638,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,-0.0145557813,-0.7086367188,-10.2606766406,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146584475E+018,618,1.55619146584451E+018,base_imu_link,-0.5083863272,-0.8608634087,-0.0102703842,0.0187630759,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,0.9721729688,0.1578153125,-10.0549804687,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146586469E+018,619,1.55619146586444E+018,base_imu_link,0.5082965228,0.86084529,0.012395125,-0.0206492747,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.2681328125,0.1723710938,-10.9022801562,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146588513E+018,620,1.55619146588464E+018,base_imu_link,0.5080176809,0.861035917,0.0123511155,-0.0195610695,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.8714316406,-1.0583585156,-10.4571796875,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146590761E+018,621,1.55619146590708E+018,base_imu_link,-0.5078945926,-0.8610512438,-0.0092553515,0.0234131756,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,0.3784503125,0.9721729688,-11.1321082812,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146592745E+018,622,1.55619146592654E+018,base_imu_link,-0.5076155773,-0.8612445731,-0.0122728855,0.0208227575,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,-0.01,-0.23,0.02,0,0,0,0.02,0,0,0,0.02,0.4359073438,-0.8235507813,-10.9838691406,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146594921E+018,623,1.55619146594874E+018,base_imu_link,-0.5073260588,-0.8614167309,-0.0094284294,0.0221943797,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,2.2841085156,0.9147159375,-9.1597999219,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146596466E+018,624,1.55619146596437E+018,base_imu_link,0.5070107161,0.8613136113,0.0180687253,-0.0274320597,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.5125167188,0.0191523438,-10.5625175781,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146598452E+018,625,1.55619146598427E+018,base_imu_link,0.5068721683,0.8614246901,0.0176659181,-0.0267586175,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,-0.2156553906,-0.6845047656,-10.5337890625,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146600476E+018,626,1.55619146600414E+018,base_imu_link,-0.5074561956,-0.8612183856,-0.0131367545,0.0248702123,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,-0.01,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,1.0150742188,0.612875,-10.078729375,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146602487E+018,627,1.55619146602455E+018,base_imu_link,0.507575887,0.8610731627,0.0168763655,-0.0251975317,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,1.1732725781,-0.3114171094,-10.0837089844,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146604806E+018,628,1.55619146604766E+018,base_imu_link,0.5076429102,0.8609360696,0.0169016509,-0.0283212617,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,-0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,-0.1244902344,0.3018409375,-10.7873660937,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146606997E+018,629,1.55619146606838E+018,base_imu_link,0.5078022475,0.8609645829,0.0162279765,-0.0247692773,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.02,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,0.8522792969,-0.4454835156,-10.2943847656,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146608525E+018,630,1.55619146608496E+018,base_imu_link,-0.5080317057,-0.8607903423,-0.0150101538,0.026804252,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.25,0.02,0,0,0,0.02,0,0,0,0.02,1.1108359375,0.3497217969,-9.3750722656,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146610505E+018,631,1.55619146610419E+018,base_imu_link,0.5080374632,0.8606892462,0.017842434,-0.028170995,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,-0.0237489063,0.0812059375,-10.6295507812,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146612454E+018,632,1.55619146612422E+018,base_imu_link,0.5083183003,0.8606357376,0.0165979305,-0.0253602328,0.0025,0,0,0,0.0025,0,0,0,0.0025,0.01,0.01,-0.24,0.02,0,0,0,0.02,0,0,0,0.02,1.1682929688,-0.8668350781,-9.7247940625,0.04,0,0,0,0.04,0,0,0,0.04,1
